"filename", "language", "JavaScript", "Markdown", "SCSS", "TypeScript", "JSON", "XML", "CSS", "vue", "HTML", "JSON with Comments", "comment", "blank", "total"
"e:\mine\项目\huiyi\huiyi\pages\uploadfile\test.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 15, 95
"e:\mine\项目\huiyi\huiyi\pages\uploadfile\uploadfile.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 915, 0, 0, 15, 110, 1040
"e:\mine\项目\huiyi\huiyi\shime-uni.d.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"e:\mine\项目\huiyi\huiyi\src\assets\style\global.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"e:\mine\项目\huiyi\huiyi\src\locales\en-US.ts", "TypeScript", 0, 0, 0, 314, 0, 0, 0, 0, 0, 0, 18, 1, 333
"e:\mine\项目\huiyi\huiyi\src\locales\index.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 27, 10, 81
"e:\mine\项目\huiyi\huiyi\src\locales\zh-CN.ts", "TypeScript", 0, 0, 0, 382, 0, 0, 0, 0, 0, 0, 18, 1, 401
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\CHANGELOG.md", "Markdown", 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 186
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\README.md", "Markdown", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 57
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\adapter-vue.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 2, 15
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\add-circle.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\add.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\at.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\audio.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\back.svg", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 1, 17
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\call-video.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\call-voice.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\cancel.svg", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\check-sm.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\close-dark.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\convertText_en.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\convertText_zh.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\d-left-arrow.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\d-right-arrow.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\del-icon.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\double-arrow.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\down-icon.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\download.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\edit.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\evalute-dark.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\evalute-light.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\face-dark.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\face-light.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\file-dark.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\file-light.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\forward-each.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\forward-merge.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\icon-arrow-left.svg", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\icon-c2c.svg", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 37
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\icon-close.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\image-dark.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\image-light.svg", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\input-close.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\left-arrow.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"e:\mine\项目\huiyi\huiyi\src\roomkit\TUIKit\assets\icon\minus.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
